City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Alugan,81.64,few clouds,12.2188,125.4808,JM Lodge
431,Bathsheba,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
436,Beyneu,84.43,few clouds,45.3167,55.2,NUR
446,Kudahuvadhoo,83.3,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
451,Chumphon,89.01,broken clouds,10.3333,98.8333,สกาน จ๋า.
460,Mata De Sao Joao,78.8,scattered clouds,-12.5303,-38.2992,Sítio Sapiranga
462,Hirara,77.0,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
463,Port-Gentil,80.6,scattered clouds,-0.7193,8.7815,Fengshui Residence
482,Kibala,78.8,clear sky,9.1104,18.3463,hotel safari
483,Kualakapuas,89.6,scattered clouds,-3.0091,114.3876,Guest House Izonk
487,Isla Mujeres,80.01,clear sky,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
491,Shache,75.65,clear sky,38.4167,77.2406,Delong Hotel
498,Olinda,77.0,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
501,Bossangoa,81.48,scattered clouds,6.4926,17.4552,LA PERLE DE BOSTON
511,Nautla,75.65,broken clouds,20.2167,-96.7833,Casa Blanca
517,Sinnamary,76.73,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
521,Jiazi,75.47,light rain,22.8779,116.06700000000001,Hotel Jin Hao
524,Kiunga,87.51,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
525,Utete,79.99,overcast clouds,-7.986000000000001,38.758,River View Lodge
526,Nhulunbuy,78.8,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
530,Umm Lajj,87.26,clear sky,25.0213,37.2685,Moon light Furnished Units
537,Ishigaki,77.0,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
544,Neiafu,78.8,scattered clouds,-18.65,-173.9833,Mystic Sands
546,Carutapera,75.16,broken clouds,-1.195,-46.02,Lidera
560,Taclobo,82.42,few clouds,12.3074,122.586,Seabreeze Inn
561,Mahajanga,87.8,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
564,Kohima,88.2,few clouds,25.6667,94.1167,The Homestay
568,Tamandare,77.47,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
572,Tignere,76.12,broken clouds,7.3667,12.65,SADECK
575,Kikwit,75.99,overcast clouds,-5.041,18.8162,Guest L'Amour
577,Mana,75.88,overcast clouds,5.6592,-53.7767,LE SAMANA
578,Luanda,80.6,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
602,Luganville,79.95,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
606,Padang,86.0,scattered clouds,-0.9492,100.3543,Mercure Padang
609,Turayf,84.2,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
611,Vila Velha,75.2,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
615,Kutum,83.48,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
620,San Pedro,86.0,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
623,Big Spring,75.99,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
630,Auki,80.91,light rain,-8.7676,160.7034,Auki Motel
637,Jiwani,84.88,broken clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
642,Qui Nhon,85.3,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
657,Hurghada,80.6,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
664,Dwarka,88.43,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
