City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Searcy,35.2506,-91.7363,55.99,94,1,6.55,clear sky
231,Ushirombo,-3.4919,31.9639,66.38,89,100,1.28,overcast clouds
232,Banda Aceh,5.5577,95.3222,84.09,68,98,6.51,overcast clouds
233,Ucluelet,48.9329,-125.5528,48.99,87,100,2.8,overcast clouds
234,Poum,-20.2333,164.0167,77.13,67,39,25.01,scattered clouds
235,Yulara,-25.2406,130.9889,78.8,18,0,12.66,clear sky
236,Port Macquarie,-31.4333,152.9167,68.0,70,15,6.8,few clouds
237,Agadir,30.4202,-9.5982,57.2,94,46,4.61,scattered clouds
238,Sandwick,60.0,-1.25,44.6,93,75,6.91,broken clouds
239,Raudeberg,61.9875,5.1352,39.99,59,14,4.81,few clouds
240,Vao,-22.6667,167.4833,73.94,72,37,16.73,scattered clouds
241,Gumdag,39.2061,54.5906,80.65,27,4,6.15,clear sky
242,Port Hawkesbury,45.6169,-61.3485,48.99,93,90,18.41,heavy intensity rain
243,Knysna,-34.0363,23.0471,57.2,94,0,3.44,clear sky
244,Little Current,45.9793,-81.9248,30.2,59,36,2.3,scattered clouds
245,Syamzha,60.0158,41.0614,39.58,96,100,2.95,overcast clouds
246,Bushenyi,-0.5853,30.2114,65.41,84,99,1.86,overcast clouds
247,Bonga,7.2833,36.2333,64.98,89,100,1.52,light rain
248,Sao Joao Da Barra,-21.6403,-41.0511,72.61,92,77,2.8,broken clouds
249,Samaniego,1.3385,-77.5957,62.83,94,99,3.53,light rain
250,Pascagoula,30.3658,-88.5561,55.99,94,1,7.74,clear sky
251,Isangel,-19.55,169.2667,78.8,73,75,5.75,broken clouds
252,Vila Franca Do Campo,37.7167,-25.4333,57.2,88,75,9.22,broken clouds
253,Caravelas,-17.7125,-39.2481,72.77,89,19,6.42,few clouds
254,Puerto Carreno,6.189,-67.4859,78.49,75,100,3.09,overcast clouds
255,Santa Cruz Del Norte,23.1539,-81.9236,77.0,94,20,3.44,few clouds
256,Nanortalik,60.1432,-45.2371,34.14,99,100,8.46,snow
257,Beringovskiy,63.05,179.3167,30.78,92,69,1.52,broken clouds
258,Tucurui,-3.7661,-49.6725,73.71,94,77,2.51,broken clouds
259,Sabzevar,36.2126,57.6819,82.4,20,0,16.11,clear sky
260,Inhambane,-23.865,35.3833,77.0,78,20,4.43,few clouds
261,Lagoa,39.05,-27.9833,58.77,85,100,8.32,overcast clouds
262,Tilichiki,60.4667,166.1,31.71,97,100,1.95,light snow
263,Salalah,17.0151,54.0924,87.8,62,75,10.36,broken clouds
264,Lethem,3.3803,-59.7968,75.09,88,87,9.4,overcast clouds
265,Nichinan,31.6,131.3667,64.4,45,75,8.05,broken clouds
266,Fortuna,40.5982,-124.1573,48.0,100,90,4.14,overcast clouds
267,Santa Isabel Do Rio Negro,-0.4139,-65.0192,72.86,99,99,2.15,overcast clouds
268,Sitka,57.0531,-135.33,48.2,49,1,2.04,clear sky
269,Ulaanbaatar,47.9077,106.8832,30.2,74,75,31.32,light snow
270,Sakakah,29.9697,40.2064,86.0,19,0,16.11,clear sky
271,Meulaboh,4.1363,96.1285,86.32,62,91,6.35,overcast clouds
272,Saskylakh,71.9167,114.0833,14.0,89,100,19.39,overcast clouds
273,Leh,34.1667,77.5833,42.57,27,0,1.97,clear sky
274,Curuca,-0.7289,-47.8481,74.25,96,91,4.0,overcast clouds
275,Jijiang,29.2906,106.2542,69.8,73,20,6.71,few clouds
276,Fairfield,41.2668,-73.3162,48.99,43,1,14.97,clear sky
277,Antalaha,-14.9003,50.2788,81.03,67,72,5.26,broken clouds
278,San Jeronimo,-11.9472,-75.2829,48.87,86,92,0.51,overcast clouds
279,Brownsville,25.9018,-97.4975,73.4,88,90,10.36,overcast clouds
280,San Cristobal,7.7669,-72.225,67.28,83,72,1.63,broken clouds
281,Port Lincoln,-34.7333,135.8667,65.86,63,0,9.44,clear sky
282,Kendallville,41.4414,-85.265,39.0,93,1,2.08,clear sky
283,Corowa,-36.0333,146.3833,69.01,45,0,5.97,clear sky
284,Balsas,-7.5325,-46.0356,72.55,92,100,1.1,overcast clouds
285,Atikokan,48.7555,-91.6216,30.81,50,100,5.99,overcast clouds
286,Marienburg,54.0359,19.0266,43.0,58,85,7.34,overcast clouds
287,Port Hardy,50.6996,-127.4199,46.4,100,40,2.3,scattered clouds
288,Ixtapa,20.7,-105.2,75.99,81,85,1.01,overcast clouds
289,Coihaique,-45.5752,-72.0662,44.58,96,77,5.59,broken clouds
290,Laguna,38.421,-121.4238,50.0,66,1,5.75,clear sky
291,Yarim,14.298,44.3779,61.34,49,82,2.13,broken clouds
292,Mayna,54.1135,47.6231,44.26,52,23,18.9,few clouds
293,Kaitangata,-46.2817,169.8464,46.0,64,95,4.0,overcast clouds
294,Mahebourg,-20.4081,57.7,78.8,83,75,14.97,light rain
295,Hermiston,45.8404,-119.2895,54.0,54,75,11.5,broken clouds
296,Sibolga,1.7427,98.7792,85.82,66,90,5.3,overcast clouds
297,Luquillo,18.3725,-65.7166,78.8,73,75,6.91,broken clouds
298,Pandan,14.0453,124.1694,81.3,65,57,8.55,broken clouds
299,Jalu,29.0331,21.5482,63.46,56,0,7.61,clear sky
300,Souillac,-20.5167,57.5167,78.8,83,75,14.97,light rain
301,Provideniya,64.3833,-173.3,35.6,69,75,2.06,broken clouds
302,Rudnogorsk,57.2639,103.7519,39.83,65,94,14.12,overcast clouds
303,Jasper,37.2001,-94.3502,62.6,55,1,11.5,clear sky
304,Muzhi,65.3667,64.6667,36.32,99,97,6.17,overcast clouds
305,Rocha,-34.4833,-54.3333,56.08,82,48,7.02,scattered clouds
306,Clermont,49.5,2.4167,39.2,81,0,16.11,clear sky
307,Kavaratti,10.5669,72.642,84.61,69,33,6.11,scattered clouds
308,Yuba City,39.1405,-121.6169,50.0,66,1,7.16,clear sky
309,Coihueco,-36.6167,-71.8333,48.2,100,0,5.75,clear sky
310,Beidao,34.5686,105.8933,57.99,13,100,1.99,overcast clouds
311,Pacific Grove,36.6177,-121.9166,51.01,89,99,5.19,overcast clouds
312,Plettenberg Bay,-34.0527,23.3716,65.71,67,100,4.34,overcast clouds
313,Aksarka,66.5606,67.7975,34.29,99,100,13.4,overcast clouds
314,Ratholo,-22.7245,27.572,65.21,22,0,3.67,clear sky
315,Suntar,62.1444,117.6319,30.63,93,100,10.78,snow
316,Nalut,30.3333,10.85,68.86,27,51,17.78,broken clouds
317,Grindavik,63.8424,-22.4338,37.4,93,0,12.66,clear sky
318,Bakchar,57.0186,82.0711,48.97,72,100,7.47,overcast clouds
319,Yuxia,34.0615,108.6291,62.6,72,75,8.95,broken clouds
320,Sarangani,5.4033,125.4636,84.09,72,91,11.79,overcast clouds
321,Ukiah,39.1502,-123.2078,46.4,71,1,2.24,clear sky
322,Russell,32.3502,-85.1999,55.4,76,1,4.61,clear sky
323,Zhongshu,24.5167,103.7667,65.44,76,68,10.0,broken clouds
324,Uyemskiy,64.4743,40.8524,39.2,87,90,6.71,light rain
325,Baganga,7.5739,126.56,81.03,85,100,5.3,light rain
326,Morro Bay,35.3658,-120.8499,53.01,93,100,1.01,overcast clouds
327,Coquimbo,-29.9533,-71.3436,53.6,87,90,3.44,overcast clouds
328,Cabo San Lucas,22.8909,-109.9124,66.99,37,100,11.36,overcast clouds
329,Ust-Tsilma,65.441,52.1498,40.24,92,100,4.52,overcast clouds
330,Silistra,44.1167,27.2667,57.0,35,1,3.0,clear sky
331,Kodinsk,58.6881,99.1844,40.96,61,100,10.29,overcast clouds
332,Bilma,18.6853,12.9164,90.0,11,0,7.4,clear sky
333,Guanare,9.0418,-69.7421,77.0,83,99,3.44,overcast clouds
334,Lichinga,-13.3128,35.2406,66.2,94,75,8.05,broken clouds
335,Burgeo,47.6167,-57.6152,40.51,83,100,16.67,overcast clouds
336,Nouadhibou,20.931,-17.0347,64.4,82,0,13.8,clear sky
337,Yeppoon,-23.1333,150.7333,78.8,38,0,9.22,clear sky
338,Lisakovsk,52.5369,62.4936,53.89,46,100,13.49,overcast clouds
339,Saint-Georges,12.0564,-61.7485,78.8,78,20,13.8,few clouds
340,Noumea,-22.2763,166.4572,78.01,78,75,9.22,broken clouds
341,Saint George,37.1041,-113.5841,70.0,13,1,12.66,clear sky
342,Sanary-Sur-Mer,43.1178,5.8001,61.0,54,87,5.99,overcast clouds
343,Araouane,18.9048,-3.5265,87.49,14,15,5.14,few clouds
344,Ambilobe,-13.2,49.05,84.88,59,16,5.06,few clouds
345,Esperance,-33.8667,121.9,78.8,38,86,11.5,overcast clouds
346,Zavallya,48.2135,30.0156,42.62,75,91,13.4,overcast clouds
347,Kedainiai,55.2883,23.9747,33.8,86,90,10.36,rain and snow
348,Boa Vista,2.8197,-60.6733,78.8,78,75,6.91,broken clouds
349,Hope,33.6671,-93.5916,57.0,63,5,5.75,clear sky
350,Newport,51.5877,-2.9984,39.0,80,21,13.04,few clouds
351,Polunochnoye,60.8697,60.4153,44.62,51,100,8.41,overcast clouds
352,Pisco,-13.7,-76.2167,64.0,88,0,1.14,mist
353,Anjozorobe,-18.4,47.8667,69.8,68,75,9.22,broken clouds
354,Yining,29.0361,114.5636,64.29,92,100,1.77,overcast clouds
355,Harper,4.375,-7.7169,77.2,84,100,2.46,overcast clouds
356,Paso De Los Toros,-32.8167,-56.5167,50.0,93,6,7.2,clear sky
357,Villamontes,-21.25,-63.5,59.13,80,0,2.71,clear sky
358,Kautokeino,69.0125,23.0412,19.69,81,97,3.11,overcast clouds
359,Loandjili,-4.7561,11.8578,77.0,100,40,2.95,scattered clouds
360,Belmonte,-15.8631,-38.8828,73.4,88,20,3.44,few clouds
361,Goryachiy Klyuch,44.6308,39.13,51.01,87,75,4.47,broken clouds
362,Sesheke,-17.4759,24.2968,66.06,60,35,3.27,scattered clouds
363,Oksfjord,70.2396,22.3479,35.6,75,75,5.75,light snow
364,Vanavara,60.34,102.2797,33.3,59,100,13.0,overcast clouds
365,Kruisfontein,-34.0033,24.7314,73.29,36,100,1.59,overcast clouds
366,Ronneby,56.21,15.276,33.8,69,0,3.44,clear sky
367,Kitui,-1.367,38.0106,73.6,70,47,5.97,scattered clouds
368,La Herradura,8.8522,-79.8072,78.01,83,75,5.75,broken clouds
369,Ponta Delgada,37.7333,-25.6667,57.2,88,75,9.22,broken clouds
370,Khandyga,62.6667,135.6,33.15,97,100,6.44,light snow
371,Touros,-5.1989,-35.4608,73.4,100,20,4.61,few clouds
372,Stokmarknes,68.5646,14.9108,35.6,75,75,5.75,broken clouds
373,Carsamba,41.1989,36.7219,51.8,76,75,9.22,light rain
374,Palmer,42.1584,-72.3287,44.01,56,1,17.27,clear sky
375,Matamoros,25.5333,-103.25,72.46,25,88,5.03,overcast clouds
